ID,ยาสีฟันกลิสเทอร์,ลูกกลิ้งระงับกลิ่นเหงื,ออลแพลนท์โปรตีน450กรัม,ยาสีฟันกลิสเทอร์ขนาดพก,นิวทริไลท์น้ำมันปลา,ยาสีฟันกลิสเทอร์ไวท์,นิวทริไลท์การ์ลิค(กระ,นิวทริไลท์กรีนทีโปรตีน,นิวทริไลท์พริมโรสพลั,ไฟโตพาวเดอร์อะเซโรล่า,แก้วเชคนิวทริไลท์,นิวทริไลท์โปรตีนเบอร์ร,น้ำยาล้างจานดิชดรอปส,โลชั่นถนอมผิวอัลลาโน,นิวทริไลท์ไฟโตเบลนด์
M2186244,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
M2187211,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
M2189216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2189225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2189926,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
M2190358,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M2190772,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
M2192462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2194442,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2195063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2195073,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2197053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2201892,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
M2205452,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2206716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2207043,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
M2207426,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
M2207807,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2207960,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2208838,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
M2209196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2209807,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
