ID,ยาสีฟันกลิสเทอร์,ลูกกลิ้งระงับกลิ่นเหงื,ออลแพลนท์โปรตีน450กรัม,นิวทริไลท์น้ำมันปลา,ผลิตภัณฑ์ทําความสะอาดLO,นิวทริไลท์การ์ลิค(กระ,น้ำยาล้างจานดิชดรอปส,ยาสีฟันกลิสเทอร์ขนาดพก,ยาสีฟันกลิสเทอร์ไวท์,นิวทริไลท์ออลแพลนท์,นิวทริไลท์กรีนทีโปรตีน,เครื่องดื่มXS:แครนเบอร,เครื่องดื่มXS:ทรอปิคอล,ไฟโตพาวเดอร์อะเซโรล่า,นิวทริไลท์ไฟโตเบลนด์
A6082688,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A6083357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6114618,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
A6119561,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0
A6119561,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1
A6119655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6128865,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A6147565,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
A6194493,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
A6194529,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
A6194529,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0
A6194529,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A6196621,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
A6216803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6231565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6233865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6242154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A6242154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A6255953,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
A6255965,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A6255965,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1
A6268402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A627791,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
A6329087,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1
A6329144,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
A6329145,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0
A6344132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6344133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6371718,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
A640619,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A6414689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6421988,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A6422290,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A6423168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6449461,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A6455044,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
A6534174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6576130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6644116,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A665526,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
A6660148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6666090,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A6670606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6741452,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A6796847,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1
A6811321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6933515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A7107618,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
A713088,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A7211933,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A7240067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A7322112,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A7376512,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A7480439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A7559140,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A7718906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A7804708,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A7846964,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A7930531,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
A808370,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
A808370,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
A8145203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A8817119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A8817120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A9026905,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A9067138,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0
A9067138,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0
A9211331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A921379,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A9301891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A9308585,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A9449389,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A9460174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A9515003,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A9526828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A9526848,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A9845797,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
