ID,ยาสีฟันกลิสเทอร์,ลูกกลิ้งระงับกลิ่นเหงื,ออลแพลนท์โปรตีน450กรัม,นิวทริไลท์น้ำมันปลา,ผลิตภัณฑ์ทําความสะอาดLO,นิวทริไลท์การ์ลิค(กระ,น้ำยาล้างจานดิชดรอปส,ยาสีฟันกลิสเทอร์ขนาดพก,ยาสีฟันกลิสเทอร์ไวท์,นิวทริไลท์ออลแพลนท์,นิวทริไลท์กรีนทีโปรตีน,เครื่องดื่มXS:แครนเบอร,เครื่องดื่มXS:ทรอปิคอล,ไฟโตพาวเดอร์อะเซโรล่า,นิวทริไลท์ไฟโตเบลนด์
A1499466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1500323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1502452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1506445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1509047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1509971,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
A1509973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1509975,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1
A1511282,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A1554677,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
A1558705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1559722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1566276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1566279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1571211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1573167,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
A1576141,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
A1577820,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1
A1579450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1600210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1601977,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A1604607,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A1607304,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A1609528,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A1609553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A161041,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0
A1610547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1610975,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A1610982,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A1611812,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
A1615971,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
A1616479,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A1622479,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
A1624188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1624672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1626266,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
A1629893,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
A1630874,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
A1630979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1631308,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
A1638879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1638883,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
A1639025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1640608,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A1642335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1644334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1644336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1646244,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0
A1646244,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
A1647739,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A1648137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1648356,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A1649979,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A1650237,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A1656929,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
A1664174,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A1668190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1673230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1796372,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
A1867888,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
A1867888,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
A1959567,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A1987882,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
A2004264,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A2022421,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A2024905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2044641,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1
A2050444,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
A2080084,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
A2080106,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
A2086969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2103471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2116552,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
A2116561,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
A2116561,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A2125090,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
A2162674,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
A2166912,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
